P010129475401	2019.05.08-14:40
P010129480901	2019.05.08-14:49
P010129469101	2019.05.08-14:52
P010129479101	2019.05.08-15:19
P010129475501	2019.05.08-15:36
P010129481001	2019.05.08-15:45
P010129469201	2019.05.08-15:47
P010129483201	2019.05.08-16:05
P010129479201	2019.05.08-16:10
P010129481101	2019.05.08-16:24
P010129469301	2019.05.08-16:28
P010129483301	2019.05.08-16:34
P010129477401	2019.05.08-16:37
P010129479301	2019.05.08-16:49
P010129481201	2019.05.08-17:08
P010129483401	2019.05.08-17:19
P010129477501	2019.05.08-17:23
P010129479401	2019.05.08-17:32
P010129481301	2019.05.08-17:43
P010129483501	2019.05.08-17:52
P010129477601	2019.05.08-18:00
P010129479501	2019.05.08-18:09
P010129483601	2019.05.08-18:28
P010129479601	2019.05.08-18:46
P010129481501	2019.05.08-19:13
P010129479701	2019.05.08-19:25
P010129481601	2019.05.08-19:48
P010129481701	2019.05.08-20:21
P010129481801	2019.05.08-20:52
P020101355301	2020.04.08-22:02
